"Scripted Log Version","2.6"

"Log Name","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood(LOG)_Scan0002.csv"
"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:49"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9417.9537
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Seq#","LogEvent","ScriptComment","Date/Time","RunTimeString","ContTimeString","RunTimeSec","ContTimeSec","RunState","ScanNum","PosX","PosY","PosZ","Ch0 NotUsed","Ch1 Massa","Ch2 NotUsed","Ch3 NotUsed","OffsetChanInUse","SICK","External Program Log Entry"

7,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at -500, 0, 900"," 2024-08-08 11:26:50"," 0:00:00"," 2:36:59",0,9418.675,"Paused",2,-500,750,750,"0","421","691.8","857.3",1,"--","--"
10,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 0, 0, 900"," 2024-08-08 11:26:57"," 0:00:00"," 2:37:06",0,9425.807,"Paused",2,0,606,750,"0","420","691.8","857.3",1,"--","--"
13,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 488, 0, 900"," 2024-08-08 11:27:04"," 0:00:00"," 2:37:13",0,9432.84,"Paused",2,488,606,750,"0","399.5","691.8","857.3",1,"--","--"
16,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 976, 0, 900"," 2024-08-08 11:27:11"," 0:00:00"," 2:37:20",0,9440.077,"Paused",2,976,231,750,"0","398.6","691.8","857.3",1,"--","--"
19,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 1464, 0, 900"," 2024-08-08 11:27:19"," 0:00:00"," 2:37:28",0,9447.705,"Paused",2,1464,-232.9,750,"0","395.2","691.8","857.3",1,"--","--"
22,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 1952, 0, 900"," 2024-08-08 11:27:26"," 0:00:00"," 2:37:35",0,9454.93,"Paused",2,1952,-607,750,"0","384.2","691.8","857.3",1,"--","--"
25,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 2440, 0, 900"," 2024-08-08 11:27:33"," 0:00:00"," 2:37:42",0,9462.168,"Paused",2,2440,-750,750,"0","384.3","691.8","857.3",1,"--","--"
28,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 2928, 0, 900"," 2024-08-08 11:27:40"," 0:00:00"," 2:37:49",0,9469.264,"Paused",2,2928,-605,750,"0","355.5","691.8","857.3",1,"--","--"
31,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 3416, 0, 900"," 2024-08-08 11:27:47"," 0:00:00"," 2:37:57",0,9476.511,"Paused",2,3416,-228,750,"0","360.5","691.8","857.3",1,"--","--"
34,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 3904, 0, 900"," 2024-08-08 11:27:55"," 0:00:00"," 2:38:04",0,9483.837,"Paused",2,3904,235,750,"0","359.7","691.8","857.3",1,"--","--"
37,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 4392, 0, 900"," 2024-08-08 11:28:02"," 0:00:00"," 2:38:11",0,9490.902,"Paused",2,4392,609,750,"0","354.1","691.8","857.3",1,"--","--"
40,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 4880, 0, 900"," 2024-08-08 11:28:09"," 0:00:00"," 2:38:18",0,9497.928,"Paused",2,4880,750,750,"0","356.4","691.8","857.3",1,"--","--"
43,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 5368, 0, 900"," 2024-08-08 11:28:16"," 0:00:00"," 2:38:25",0,9505.168,"Paused",2,5368,604,750,"0","334.1","691.8","857.3",1,"--","--"
46,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 5856, 0, 900"," 2024-08-08 11:28:23"," 0:00:00"," 2:38:32",0,9512.358,"Paused",2,5856,226,750,"0","340.7","691.8","857.3",1,"--","--"
49,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 6344, 0, 900"," 2024-08-08 11:28:31"," 0:00:00"," 2:38:40",0,9519.891,"Paused",2,6344,-238,750,"NoData","NoData","NoData","NoData",1,"--","--"
52,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 6832, 0, 900"," 2024-08-08 11:28:38"," 0:00:00"," 2:38:47",0,9527.209,"Paused",2,6832,-611,750,"0","329.6","691.8","857.3",1,"--","--"
55,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 7320, 0, 900"," 2024-08-08 11:28:45"," 0:00:00"," 2:38:55",0,9534.568,"Paused",2,7320,-749.9,750,"0","322.5","691.8","857.3",1,"--","--"
58,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 7808, 0, 900"," 2024-08-08 11:28:53"," 0:00:00"," 2:39:02",0,9542.104,"Paused",2,7808,-601.9,750,"0","323.8","691.8","857.3",1,"--","--"
61,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 8296, 0, 900"," 2024-08-08 11:29:01"," 0:00:00"," 2:39:10",0,9549.734,"Paused",2,8296,-224,750,"0","319.7","691.8","857.3",1,"--","--"
64,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 8784, 0, 900"," 2024-08-08 11:29:08"," 0:00:00"," 2:39:17",0,9557.251,"Paused",2,8784,240,750,"0","326.5","691.8","857.3",1,"--","--"
67,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 9272, 0, 900"," 2024-08-08 11:29:15"," 0:00:00"," 2:39:24",0,9564.47,"Paused",2,9272,612,750,"0","323.4","691.8","857.3",1,"--","--"
70,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 8784, 0, 900"," 2024-08-08 11:29:23"," 0:00:00"," 2:39:32",0,9571.682,"Paused",2,9760,750,750,"0","322.7","691.8","857.3",1,"--","--"
73,"Time Triggered Scan (20 samples at 0.05 Per sec.)","Sampling for 1.000 Sec. at 9272, 0, 900"," 2024-08-08 11:29:28"," 0:00:00"," 2:39:37",0,9577.266,"Paused",2,9940,750,750,"0","322.3","691.8","857.3",1,"--","--"
